latitude,longitude,EA_Rate,EA_Rank
21.80062972536199,90.18218578310821,-13.240682524682708,5
21.80062972536199,90.18245527769345,-13.65461012666736,5
21.80062972536199,90.18272477227869,-14.303745880573192,5
21.80062972536199,90.18299426686391,-14.224398134583726,5
21.80062972536199,90.18326376144915,-13.221005162189458,5
21.80062972536199,90.1835332560344,-11.785776479476864,5
21.80062972536199,90.18380275061963,-14.388823941077844,5
21.80062972536199,90.18407224520486,-15.504579431358671,5
21.80062972536199,90.1843417397901,-15.544765208093171,5
21.80062972536199,90.18461123437534,-16.0616121050889,5
21.80062972536199,90.18488072896056,-17.777272571066813,5
21.800899219947226,90.18110780476727,-13.442251801656598,5
21.800899219947226,90.1813772993525,-12.496643866532057,5
21.800899219947226,90.18164679393774,-12.781692673028488,5
21.800899219947226,90.18191628852297,-12.924680051934468,5
21.800899219947226,90.18218578310821,-13.245524898136587,5
21.800899219947226,90.18245527769345,-13.506112229678944,5
21.800899219947226,90.18272477227869,-13.738189760631103,5
21.800899219947226,90.18299426686391,-13.769992563377963,5
21.800899219947226,90.18326376144915,-13.510595195677768,5
21.800899219947226,90.1835332560344,-13.426085473664969,5
21.800899219947226,90.18380275061963,-14.065183352841395,5
21.800899219947226,90.18407224520486,-14.747435894764527,5
21.800899219947226,90.1843417397901,-15.172413686744012,5
21.800899219947226,90.18461123437534,-15.832803776931325,5
21.800899219947226,90.18488072896056,-16.814271735681533,5
21.800899219947226,90.1851502235458,-17.46514556729769,5
21.800899219947226,90.18541971813104,-18.853136913581785,5
21.800899219947226,90.18568921271628,-16.074450501756512,5
21.800899219947226,90.18595870730151,-14.954225379137428,5
21.800899219947226,90.18622820188675,-13.555293516336576,5
21.801168714532462,90.17410094555113,-8.391804500607433,5
21.801168714532462,90.17437044013637,-8.548763062571814,5
21.801168714532462,90.17463993472161,-8.554979005448004,5
21.801168714532462,90.17490942930685,-8.65753073444354,5
21.801168714532462,90.17517892389208,-9.531185285730862,5
21.801168714532462,90.18029932101156,-15.602685706937649,5
21.801168714532462,90.1805688155968,-14.384926276049544,5
21.801168714532462,90.18083831018204,-13.51404879973281,5
21.801168714532462,90.18110780476727,-13.179432195200649,5
21.801168714532462,90.1813772993525,-12.990784586779455,5
21.801168714532462,90.18164679393774,-12.996851756921046,5
21.801168714532462,90.18191628852297,-13.110272060145087,5
21.801168714532462,90.18218578310821,-13.28094986707068,5
21.801168714532462,90.18245527769345,-13.463863382052802,5
21.801168714532462,90.18272477227869,-13.620664416408058,5
21.801168714532462,90.18299426686391,-13.708419923088469,5
21.801168714532462,90.18326376144915,-13.740137318482068,5
21.801168714532462,90.1835332560344,-13.852386019896601,5
21.801168714532462,90.18380275061963,-14.145888986840763,5
21.801168714532462,90.18407224520486,-14.51602863098599,5
21.801168714532462,90.1843417397901,-14.878918329714732,5
21.801168714532462,90.18461123437534,-15.282691268364553,5
21.801168714532462,90.18488072896056,-15.669919767975404,5
21.801168714532462,90.1851502235458,-15.83480704328198,5
21.801168714532462,90.18541971813104,-15.577307124406332,5
21.801168714532462,90.18568921271628,-15.022526998141986,5
21.801168714532462,90.18595870730151,-14.674956039820193,5
21.801168714532462,90.18622820188675,-12.921948499578376,5
